id,room_name,user_name,message,ai_message,ai_user_summary,send_in_mode_c,timestamp
158,2,33,這個錢包很多錢嗎,與此無關,,,2025-07-03T11:45:23.411304+00:00
159,2,33,他是他殺嗎,否,,,2025-07-03T11:45:34.558886+00:00
160,2,33,所以她是意外而死?,是,,,2025-07-03T11:45:45.119379+00:00
161,2,Ted,死因是不是他殺,否,,,2025-07-03T11:45:50.494924+00:00
162,2,33,錢包在室內嗎,與此無關,,,2025-07-03T11:45:59.325272+00:00
163,2,33,屁話,與此無關,,,2025-07-03T11:46:09.976917+00:00
164,2,33,錢包在哪啦,與此無關,,,2025-07-03T11:46:22.555458+00:00
165,2,Ted,錢包是不是他的,否,,,2025-07-03T11:46:30.890283+00:00
166,2,33,錢包很大嗎,與此無關,,,2025-07-03T11:46:32.170207+00:00
167,2,Ted,男子是不是小偷慣犯,與此無關,,,2025-07-03T11:46:55.426076+00:00
168,2,33,錢包裡面有炸彈嗎,否,,,2025-07-03T11:47:18.807612+00:00
169,2,33,他在交通工具上嗎,與此無關,,,2025-07-03T11:47:41.591595+00:00
170,2,Ted,男子是不是沒錢,與此無關,,,2025-07-03T11:47:48.741126+00:00
171,2,33,男子自願偷的嗎,是,,,2025-07-03T11:49:28.004406+00:00
172,2,Ted,他是不是流浪漢?,與此無關,,,2025-07-03T11:49:36.978548+00:00
173,2,33,他有罪惡感嗎,與此無關,,,2025-07-03T11:49:47.641542+00:00
174,2,Ted,他是為了錢嗎?,與此無關,,,2025-07-03T11:49:48.055564+00:00
175,2,Ted,他的死事不是意外,否,,,2025-07-03T11:49:59.713719+00:00
176,2,Ted,錢包的主人是關鍵人物嗎,是,,,2025-07-03T11:50:18.294967+00:00
177,2,33,所以她不是被車撞死,是,,,2025-07-03T11:50:19.512657+00:00
178,2,33,是被撞死嗎,否,,,2025-07-03T11:50:33.296808+00:00
179,2,Ted,錢包裡有除了錢以外的特殊物品嗎,是,,,2025-07-03T11:50:38.174847+00:00
180,2,Ted,他是不是馬上死亡,否,,,2025-07-03T11:50:53.564615+00:00
181,2,Ted,他的死因是不是受到物理性傷害,是,,,2025-07-03T11:51:18.295377+00:00
182,2,33,是摔死嗎,否,,,2025-07-03T11:51:27.980351+00:00
183,2,Ted,錢包的主人是不是兇手,與此無關,,,2025-07-03T11:52:10.635020+00:00
184,2,Ted,這個錢包是不是皮夾,與此無關,,,2025-07-03T11:53:00.821278+00:00
185,2,Ted,這個錢包裡面有沒有活的東西,否,,,2025-07-03T11:53:10.710879+00:00
186,2,33,"跟以下死法有關嗎？

1️⃣ 交通事故相關
車禍（機車、自行車、汽車相撞、翻車）

行人被車撞

火車或捷運撞擊

船難、溺水（屬交通事故或意外）

2️⃣ 墜落
從高處墜落（施工時摔落、樓梯跌落、陽台墜樓）

登山時滑落

掉進深坑或井裡

3️⃣ 溺水
游泳時抽筋溺水

河流、海邊、溪邊戲水溺水

浴缸內不慎溺水（幼兒或酒後成人）

4️⃣ 窒息
被異物噎住（例如食物噎住）

被塑膠袋套頭

睡覺時被棉被悶住（嬰幼兒）

一氧化碳中毒（瓦斯熱水器使用不當）

5️⃣ 火災與燒傷
室內火災（電線走火、爐火未關）

野外露營生火不慎

爆炸事故

6️⃣ 中毒
食物中毒

酒精中毒

藥物過量（非蓄意自殺）

化學品誤食或吸入

一氧化碳中毒（同窒息原因之一）

7️⃣ 被動物攻擊
被毒蛇咬

被狗或其他野生動物咬致命

被蜜蜂叮咬後過敏性休克

8️⃣ 被物體擊中
樹倒砸中

工地物品掉落擊中

天花板或招牌掉落

被流彈擊中（非蓄意犯罪殺人）

9️⃣ 電擊
遭高壓電擊

在潮濕環境使用電器觸電

10️⃣ 極端氣候災害
閃電擊中

被洪水沖走

暴風雪或極端低溫凍死

熱浪中暑死亡",是,,,2025-07-03T11:53:18.288338+00:00
187,2,33,被電死,否,,,2025-07-03T11:53:39.081115+00:00
188,2,Ted,男子的死因是不是中毒,否,,,2025-07-03T11:53:39.434245+00:00
189,2,Ted,凶器是不是在錢包裡面,否,,,2025-07-03T11:53:50.778819+00:00
190,2,Ted,男子有沒有打開錢包,是,,,2025-07-03T11:54:00.559068+00:00
191,2,33,錢包裡的東西有毒,否,,,2025-07-03T11:54:09.009909+00:00
192,2,Ted,他的死跟錢包內容物有沒有關係,是,,,2025-07-03T11:54:29.943742+00:00
193,2,33,溺死,否,,,2025-07-03T11:54:30.602588+00:00
194,2,Ted,錢包裡面有沒有毒,否,,,2025-07-03T11:54:45.314117+00:00
195,2,33,"1️⃣ 交通事故相關
車禍（機車、自行車、汽車相撞、翻車）

行人被車撞

火車或捷運撞擊

船難、溺水（屬交通事故或意外）

2️⃣ 墜落
從高處墜落（施工時摔落、樓梯跌落、陽台墜樓）

登山時滑落

掉進深坑或井裡",是,,,2025-07-03T11:54:53.218774+00:00
196,2,33,"1️⃣ 交通事故相關
車禍（機車、自行車、汽車相撞、翻車）

行人被車撞

火車或捷運撞擊

船難、溺水（屬交通事故或意外）",是,,,2025-07-03T11:55:06.234133+00:00
197,2,33,跟交通工具有關,與此無關,,,2025-07-03T11:55:27.616498+00:00
198,2,33,車禍（機車、自行車、汽車相撞、翻車）,與此無關,,,2025-07-03T11:55:35.626276+00:00
199,2,Ted,錢包是不是一般認知的錢包,是,,,2025-07-03T11:55:39.001464+00:00
200,2,33,火車或捷運撞擊而死?,否,,,2025-07-03T11:55:47.311551+00:00
201,2,33,船難、溺水（屬交通事故或意外）,與此無關,,,2025-07-03T11:55:54.023259+00:00
202,2,Ted,是不是拿到錢太開心死掉,否,,,2025-07-03T11:55:56.644158+00:00
203,2,Ted,錢包裡面有沒有機關,否,,,2025-07-03T11:56:11.096551+00:00
204,2,33,錢包裡面有特別的東西,是,,,2025-07-03T11:56:23.393354+00:00
205,2,33,除了錢之外?,與此無關,,,2025-07-03T11:56:31.196662+00:00
206,2,33,除了錢之外有其他東西?,是,,,2025-07-03T11:56:42.051355+00:00
207,2,33,會致死?,是,,,2025-07-03T11:56:51.096645+00:00
208,2,Ted,男人是不是在有意識的情況下被殺害,否,,,2025-07-03T11:56:55.206045+00:00
209,2,33,可以吃嗎,與此無關,,,2025-07-03T11:57:01.377928+00:00
210,2,Ted,男人是不是在無意識的情況下被殺害,否,,,2025-07-03T11:57:09.103688+00:00
211,2,Ted,男人是不是被他人所殺,否,,,2025-07-03T11:57:22.179640+00:00
212,2,33,錢包的主人?,與此無關,,,2025-07-03T11:57:22.818031+00:00
213,2,33,錢包的主人賺很多錢嗎,與此無關,,,2025-07-03T11:57:46.911676+00:00
214,2,Ted,男人是不是錢包的主人,否,,,2025-07-03T11:57:52.652634+00:00
215,2,Ted,錢包的主人是不是男人的老婆,與此無關,,,2025-07-03T11:58:08.032471+00:00
216,2,33,跟交通工具有關?,與此無關,,,2025-07-03T11:58:14.853687+00:00
217,2,Ted,錢包的主人和男人認識嗎,與此無關,,,2025-07-03T11:58:17.161186+00:00
218,2,33,跟大自然有關嗎,與此無關,,,2025-07-03T11:58:25.711699+00:00
219,2,Ted,男人的死因跟健康有關嗎,是,,,2025-07-03T11:58:33.028697+00:00
220,2,Ted,男人本身有特殊疾病嗎,否,,,2025-07-03T11:58:41.643581+00:00
221,2,Ted,男人心臟有問題嗎,與此無關,,,2025-07-03T11:58:56.981396+00:00
222,2,Ted,男人死亡的時候有沒有出血,是,,,2025-07-03T11:59:11.415398+00:00
223,2,Ted,男人是不是中毒而王,否,,,2025-07-03T11:59:31.083036+00:00
224,2,Ted,男人是不是自殺,否,,,2025-07-03T12:00:14.680871+00:00
225,2,33,錢包很多鈔票嗎,與此無關,,,2025-07-03T12:00:28.654267+00:00
226,2,Ted,故事中有沒有其他活體動物,與此無關,,,2025-07-03T12:00:33.557850+00:00
227,2,Ted,男人有沒有感情糾紛,與此無關,,,2025-07-03T12:01:55.181101+00:00
228,2,Ted,錢包的主人是不是男生,與此無關,,,2025-07-03T12:02:06.971575+00:00
229,2,Ted,男人沒打開錢包會不會死,與此無關,,,2025-07-03T12:03:17.101353+00:00
230,2,Ted,男人是不是遭到外力攻擊而死,否,,,2025-07-03T12:04:09.669855+00:00
231,2,Ted,錢包是不是凶器,否,,,2025-07-03T12:04:24.556291+00:00
232,2,33,有流血嗎,是,,,2025-07-03T12:04:41.410370+00:00
233,2,33,吐血?,與此無關,,,2025-07-03T12:05:02.053677+00:00
234,2,33,上半身出血?,與此無關,,,2025-07-03T12:05:10.127764+00:00
235,2,33,身體出血?,是,,,2025-07-03T12:05:18.088612+00:00
236,2,33,下半身出血?,與此無關,,,2025-07-03T12:05:25.537714+00:00
237,2,Ted,錢包裡面有沒有刀子,否,,,2025-07-03T12:05:39.042826+00:00
238,2,33,內出血?,是,,,2025-07-03T12:06:10.018839+00:00
239,2,33,頭顱出血?,與此無關,,,2025-07-03T12:06:14.859904+00:00
240,2,Ted,是內出血而王嗎,是,,,2025-07-03T12:06:47.120180+00:00
241,2,33,有外傷嗎,是,,,2025-07-03T12:07:08.333783+00:00
242,2,Ted,看到情人的照片太生氣腦溢血致死,否,,,2025-07-03T12:07:26.604512+00:00
243,2,33,跌倒?,與此無關,,,2025-07-03T12:07:38.879971+00:00
244,2,Ted,太激動死掉的嗎,否,,,2025-07-03T12:08:02.279279+00:00
