id,room_name,user_name,message,ai_message,ai_user_summary,send_in_mode_c,timestamp
256,3,霈,你好,與此無關,,,2025-07-05T13:23:50.660234+00:00
257,3,yhhhh,恭喜的內容跟他的餐點有關嗎,否,,,2025-07-05T13:23:52.020715+00:00
258,3,yhhhh,恭喜的原因跟餐廳營運有關嗎,否,,,2025-07-05T13:24:56.482519+00:00
259,3,霈,是跟人有關係嗎,是,,,2025-07-05T13:25:56.619226+00:00
260,3,霈,是跟家人有關嗎,否,,,2025-07-05T13:27:07.321017+00:00
261,3,yhhhh,老闆跟顧客收第一次見面嗎,與此無關,,,2025-07-05T13:27:16.802863+00:00
262,3,yhhhh,老闆跟顧客是第一次見面嗎,與此無關,,,2025-07-05T13:27:31.753087+00:00
263,3,霈,是跟餐廳老闆本人有關嗎,是,,,2025-07-05T13:27:34.285908+00:00
264,3,霈,是該名男子看到什麼資訊嗎,否,,,2025-07-05T13:28:03.055214+00:00
265,3,yhhhh,這是一個驚悚的故事嗎,否,,,2025-07-05T13:28:57.543415+00:00
266,3,yhhhh,是一個開心的故事嗎,與此無關,,,2025-07-05T13:29:06.943296+00:00
267,3,霈,是男子從他人口中得知的嗎,否,,,2025-07-05T13:29:07.370348+00:00
268,3,yhhhh,他是恭喜老闆新店開張嗎,否,,,2025-07-05T13:29:45.442671+00:00
269,3,霈,男子跟餐廳老闆有關係嗎,否,,,2025-07-05T13:29:51.162083+00:00
270,3,yhhhh,男子精神狀況正常嗎,是,,,2025-07-05T13:30:29.277462+00:00
271,3,霈,是跟商業活動有關嗎,是,,,2025-07-05T13:30:54.982712+00:00
272,3,霈,是老闆開新餐廳嗎,否,,,2025-07-05T13:31:28.537317+00:00
273,3,yhhhh,男子在做什麼商業活動嗎,是,,,2025-07-05T13:31:47.222578+00:00
274,3,霈,有什麼促銷活動嗎,與此無關,,,2025-07-05T13:31:59.751899+00:00
275,3,yhhhh,他要送老闆什麼東西嗎,是,,,2025-07-05T13:32:06.767078+00:00
276,3,霈,餐廳打折嗎,否,,,2025-07-05T13:32:13.218626+00:00
277,3,yhhhh,送錢嗎,否,,,2025-07-05T13:32:13.261373+00:00
278,3,yhhhh,送禮物嗎,否,,,2025-07-05T13:32:19.775815+00:00
279,3,yhhhh,做廣告嗎,否,,,2025-07-05T13:32:27.189953+00:00
280,3,霈,男子要投資老闆的餐廳嗎,否,,,2025-07-05T13:33:40.485805+00:00
281,3,霈,是個溫馨的故事嗎,否,,,2025-07-05T13:34:31.267367+00:00
282,3,霈,是個商人的故事嗎,否,,,2025-07-05T13:34:42.266390+00:00
283,3,yhhhh,那個男生是同行嗎,否,,,2025-07-05T13:34:59.248678+00:00
284,3,霈,所以男子要送祝福給老闆嗎,是,,,2025-07-05T13:35:15.204618+00:00
285,3,yhhhh,他們是正向的關係嗎,與此無關,,,2025-07-05T13:35:16.132340+00:00
286,3,yhhhh,他們是競爭關係嗎,否,,,2025-07-05T13:35:26.698301+00:00
287,3,yhhhh,他們除了老闆和顧客以外還有其他身分嗎,否,,,2025-07-05T13:35:40.217115+00:00
288,3,霈,老闆獲獎了嗎,否,,,2025-07-05T13:35:44.504573+00:00
289,3,霈,老闆擁有更多東西嗎,是,,,2025-07-05T13:35:59.664175+00:00
290,3,yhhhh,他要送的東西是實體的嗎,是,,,2025-07-05T13:36:05.912281+00:00
291,3,霈,是恭喜的話嗎,否,,,2025-07-05T13:36:19.304986+00:00
292,3,yhhhh,是很貴的東西嗎,與此無關,,,2025-07-05T13:36:19.920201+00:00
293,3,yhhhh,送的東西跟支票有關嗎,是,,,2025-07-05T13:36:32.430609+00:00
294,3,yhhhh,要送的東西是指支票嗎,是,,,2025-07-05T13:36:58.144550+00:00
295,3,yhhhh,他除了支票還有要送老闆其他東西嗎,否,,,2025-07-05T13:37:20.311562+00:00
296,3,霈,他要稱讚老闆煮的很好吃嗎,否,,,2025-07-05T13:37:34.285039+00:00
297,3,霈,他恭喜老闆創業成功嗎,否,,,2025-07-05T13:37:48.842310+00:00
298,3,霈,在付支票前，他有先付錢嗎,否,,,2025-07-05T13:38:24.962740+00:00
299,3,yhhhh,商業活動的獲利者只有老闆嗎,否,,,2025-07-05T13:39:07.873371+00:00
300,3,霈,跟餐點有關嗎,否,,,2025-07-05T13:39:16.110367+00:00
301,3,yhhhh,顧客也是獲利者是嗎,否,,,2025-07-05T13:39:23.093368+00:00
302,3,霈,跟餐廳有關嗎,是,,,2025-07-05T13:39:25.342605+00:00
303,3,霈,男子只是單純的客人嗎,否,,,2025-07-05T13:39:50.346906+00:00
304,3,yhhhh,除了老闆以外還有男子之外的人會獲利是嗎,否,,,2025-07-05T13:40:01.163856+00:00
305,3,霈,男子跟老闆是朋友嗎,否,,,2025-07-05T13:40:01.770896+00:00
306,3,yhhhh,這個故事有含括在餐廳消費以外的商業活動嗎,否,,,2025-07-05T13:40:48.655835+00:00
307,3,yhhhh,他跟老闆原本不認識是嗎,是,,,2025-07-05T13:42:19.000158+00:00
308,3,yhhhh,是吃飯過程中發生了什麼事才恭喜老闆嗎,否,,,2025-07-05T13:42:49.286557+00:00
309,3,霈,跟服務生有關嗎,否,,,2025-07-05T13:43:33.450149+00:00
310,3,yhhhh,老闆有用任何形式透露出會引導男生恭喜他的訊息嗎,否,,,2025-07-05T13:43:59.001127+00:00
311,3,霈,男子與老闆有對話嗎,是,,,2025-07-05T13:44:05.792378+00:00
312,3,yhhhh,男生是自發性的恭喜他嗎,否,,,2025-07-05T13:44:16.431655+00:00
313,3,霈,男子是聽到什麼才恭喜老闆嗎,否,,,2025-07-05T13:44:22.516758+00:00
314,3,yhhhh,男生是被迫恭喜他嗎,否,,,2025-07-05T13:44:32.849104+00:00
315,3,霈,男子是看到什麼才恭喜老闆的嗎,否,,,2025-07-05T13:47:23.181703+00:00
316,3,霈,男子是單純想恭喜老闆嗎,否,,,2025-07-05T13:47:37.502203+00:00
317,3,霈,跟服務有關嗎,否,,,2025-07-05T13:48:44.585859+00:00
318,2,ffff,fff,與此無關,,,2025-07-05T13:51:04.375847+00:00
319,3,yhhhh,男生是用支票來結帳嗎,是,,,2025-07-05T13:51:35.656853+00:00
320,3,yhhhh,他恭喜老闆是出自於他個人的原因嗎,否,,,2025-07-05T13:52:07.671167+00:00
321,3,yhhhh,他恭喜老闆是出自於餐點的原因嗎,否,,,2025-07-05T13:52:51.837916+00:00
322,3,yhhhh,他恭喜老闆是跟餐廳的生意有關嗎,否,,,2025-07-05T13:53:21.629557+00:00
323,3,yhhhh,他恭喜老闆是跟老闆的事業有關嗎,否,,,2025-07-05T13:53:37.644988+00:00
324,3,霈,男子是美食評論家嗎,否,,,2025-07-05T13:54:19.892908+00:00
325,3,yhhhh,他恭喜老闆的原因是跟老闆的私事有關嗎,否,,,2025-07-05T13:54:39.171788+00:00
326,3,霈,他要與老闆合作嗎,否,,,2025-07-05T13:54:43.345124+00:00
327,3,yhhhh,他恭喜老闆的原因是跟他的用餐過程有關嗎,否,,,2025-07-05T13:55:28.301848+00:00
328,3,霈,餐廳有什麼特別的活動嗎,與此無關,,,2025-07-05T13:55:46.590451+00:00
329,3,霈,男子有其他的計劃嗎,是,,,2025-07-05T13:56:08.575597+00:00
330,3,霈,他有其他身分嗎,是,,,2025-07-05T13:56:20.520516+00:00
331,3,霈,男子的身分是好的嗎,與此無關,,,2025-07-05T13:56:32.508766+00:00
332,3,霈,男子有其他身分嗎,是,,,2025-07-05T13:56:43.613819+00:00
333,3,霈,他是投資人嗎,否,,,2025-07-05T13:57:06.784644+00:00
334,3,霈,男子是演員嗎,否,,,2025-07-05T13:57:23.520692+00:00
335,3,yhhhh,他恭喜老闆的原因跟支票有關嗎,是,,,2025-07-05T13:57:29.486113+00:00
336,3,霈,這是搞笑的故事嗎,否,,,2025-07-05T13:57:37.746742+00:00
337,3,yhhhh,支票有哪裡特別的嗎,與此無關,,,2025-07-05T13:57:41.266364+00:00
338,3,yhhhh,男子有顧客以外的身分嗎,是,,,2025-07-05T13:57:59.554168+00:00
339,3,yhhhh,他是明星嗎,是,,,2025-07-05T13:58:07.877219+00:00
340,3,yhhhh,恭喜的原因是跟他的明星身分有關嗎,是,,,2025-07-05T13:58:32.748732+00:00
