id,room_name,user_name,message,reply_message,reply_author,timestamp,liked_by
1192,3,yhhhh,有得到什麼有用的資訊嗎,,,2025-07-05T13:28:06.477374+00:00,[]
1193,3,霈,跟餐廳老闆本人有關～與他的家人無關,,,2025-07-05T13:28:25.937929+00:00,"[""yhhhh""]"
1194,3,霈,然後跟商業活動有關,,,2025-07-05T13:31:06.650621+00:00,[]
1195,3,yhhhh,讚讚！,,,2025-07-05T13:31:16.119556+00:00,[]
1196,3,yhhhh,他要送老闆什麼東西、但不是錢也不是禮物和廣告,,,2025-07-05T13:33:07.746425+00:00,"[""霈""]"
1197,3,霈,好～,,,2025-07-05T13:33:20.766331+00:00,[]
1198,3,yhhhh,不是一個驚悚的故事,,,2025-07-05T13:34:13.868237+00:00,"[""霈""]"
1199,3,yhhhh,要送老闆的東西就是支票= =,,,2025-07-05T13:37:44.865790+00:00,[]
1200,3,霈,喔？！,,,2025-07-05T13:38:05.315917+00:00,[]
1201,3,yhhhh,這ai…,,,2025-07-05T13:38:21.762548+00:00,"[""霈""]"
1202,3,yhhhh,這個故事沒有含括在餐廳消費以外的商業活動,,,2025-07-05T13:41:19.353127+00:00,[]
